№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Сальдо;Каталог
55;г. Нижний Новгород;г. Нижний Новгород, ул. Костина, д.6;01.01.2021;;;7;UTC+3;1;1;0;0;1;ОРЭМ
56;г. Нижний Новгород;г. Нижний Новгород, ул. Октябрьская, д.35а;01.01.2021;;;7;UTC+3;1;1;0;0;1;ОРЭМ
57;г. Барнаул;г. Барнаул, пр-т Комсомольский, д.106;01.01.2021;;;7;UTC+3;1;1;0;0;1;ОРЭМ
124;г. Москва;пер. Оружейный, д.41;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
125;г. Москва;пр-т Кутузовский, д.32, к.Г;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
126;г. Москва;пр-т Кутузовский, д.32, к.Е;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
127;г. Москва;пр-т Кутузовский, д.32, к.А,Б;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
128;г. Москва;ул. Вавилова, д.23;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
129;г. Москва;ул. Вавилова, д.19;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
130;г. Москва;ул. Б.Андроньевская, д.6;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
131;г. Москва;г. Москва, ул. Б.Андроньевская, д.8;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
132;г. Москва;ул. Б.Якиманка, д.42;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
133;г. Москва;ул. Новослободская, д.16;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
134;г. Москва;пр-т Волгоградский, д.32, к.45;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
135;г. Москва;2-й Южнопортовый проезд, д.12А, к.1. МегаЦОД;01.01.2021;;;7;UTC+3;1;1;1;1;0;ОРЭМ
136;г. Москва;2-й Южнопортовый проезд, д.12А ЦСКО;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
138;г. Новосибирск;г. Новосибирск, пр-т Димитрова, д.2;01.01.2021;;;7;UTC+3;1;0;0;0;0;ОРЭМ
