№;Город;Адрес;Отчетный месяц;Отчетный период начало;Отчетный период конец;Уровень;Тайм зона;Активная прием;Активная отдача;Реактивная отдача;Реактивная прием;Каталог
;;ул. Голубинская, д.7, к.2;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Дмитрия Ульянова, д.12, к.1 (Доп. офис №7813/483);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Кржижановского, д.17, к.1 (Доп. офис №7813/605);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Марии Ульяновой, д.11;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Миклухо-Маклая 17, в здании общежития РУДН (Доп. офис №7813/1041);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Миклухо-Маклая д.18, к.1;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Миклухо-Маклая, д.55 (Доп. офис №7813/1256);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Нагорная, д.26, корп. 1 (Доп. офис №7813/1271);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Нов. Черемушки, д.29-30 к.5 (Наметкина, 11) (ВСП1095);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Новаторов, д.40, к.16 (Доп. офис №7813/1422);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Обручева, д.28, к.5 (Доп. офис №7813/1423);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Островитянова, д.21 (Доп. офис №7813/1294);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Островитянова, д.34, к.1 (Доп. офис №7813/1491);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Паустовского, д.8, к.3 (Доп. офис №7813/1430);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Профсоюзная, д.20/9;01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
;;ул. Профсоюзная, д.32, к.1 (Доп. офис №7813/1017);01.01.2021;;;144;UTC+3;1;0;0;0;Московский банк
