№;P+, кВт;R+, кВар;Время;Дата
212;0.6510;0.0770;10:00;05.09.2019
213;0.6890;0.0890;10:30;05.09.2019
214;0.7320;0.0900;11:00;05.09.2019
215;0.7190;0.0960;11:30;05.09.2019
216;0.6970;0.0970;12:00;05.09.2019
217;0.6850;0.0880;12:30;05.09.2019
218;0.6700;0.0680;13:00;05.09.2019
219;0.6710;0.0730;13:30;05.09.2019
220;0.7150;0.0930;14:00;05.09.2019
221;0.7120;0.0940;14:30;05.09.2019
222;0.7860;0.1090;15:00;05.09.2019
223;0.7520;0.1000;15:30;05.09.2019
224;0.7480;0.1020;16:00;05.09.2019
225;0.7390;0.1020;16:30;05.09.2019
226;0.7330;0.0990;17:00;05.09.2019
227;0.7300;0.0990;17:30;05.09.2019
228;0.6650;0.0830;18:00;05.09.2019
229;0.6090;0.0750;18:30;05.09.2019
230;0.5530;0.0590;19:00;05.09.2019
231;0.5510;0.0510;19:30;05.09.2019
232;0.4870;0.0490;20:00;05.09.2019
233;0.5240;0.0500;20:30;05.09.2019
234;0.5220;0.0520;21:00;05.09.2019
235;0.5510;0.0630;21:30;05.09.2019
236;0.5330;0.0630;22:00;05.09.2019
237;0.5400;0.0600;22:30;05.09.2019
238;0.5320;0.0600;23:00;05.09.2019
239;0.5770;0.0640;23:30;05.09.2019
240;0.5590;0.0610;00:00;06.09.2019
241;0.5320;0.0540;00:30;06.09.2019
242;0.4940;0.0460;01:00;06.09.2019
243;0.5350;0.0530;01:30;06.09.2019
244;0.5340;0.0590;02:00;06.09.2019
245;0.5630;0.0610;02:30;06.09.2019
246;0.5340;0.0560;03:00;06.09.2019
247;0.5410;0.0590;03:30;06.09.2019
248;0.5230;0.0580;04:00;06.09.2019
249;0.5640;0.0620;04:30;06.09.2019
250;0.5900;0.0700;05:00;06.09.2019
251;0.6060;0.0700;05:30;06.09.2019
252;0.5800;0.0600;06:00;06.09.2019
253;0.5280;0.0530;06:30;06.09.2019
254;0.4890;0.0480;07:00;06.09.2019
255;0.4720;0.0450;07:30;06.09.2019
256;0.5110;0.0450;08:00;06.09.2019
257;0.5580;0.0550;08:30;06.09.2019
258;0.6110;0.0750;09:00;06.09.2019
259;0.6700;0.0840;09:30;06.09.2019
260;0.6730;0.0870;10:00;06.09.2019
261;0.6890;0.0860;10:30;06.09.2019
262;0.7430;0.1020;11:00;06.09.2019
263;0.7820;0.1180;11:30;06.09.2019
264;0.7230;0.0910;12:00;06.09.2019
265;0.6870;0.0800;12:30;06.09.2019
266;0.6610;0.0660;13:00;06.09.2019
267;0.6860;0.0770;13:30;06.09.2019
268;0.7320;0.0970;14:00;06.09.2019
269;0.7200;0.0880;14:30;06.09.2019
270;0.7430;0.1010;15:00;06.09.2019
271;0.7330;0.1030;15:30;06.09.2019
272;0.6970;0.0830;16:00;06.09.2019
273;0.7060;0.0910;16:30;06.09.2019
274;0.6840;0.0800;17:00;06.09.2019
275;0.6890;0.0780;17:30;06.09.2019
276;0.6540;0.0800;18:00;06.09.2019
277;0.5910;0.0720;18:30;06.09.2019
278;0.6280;0.0760;19:00;06.09.2019
279;0.5700;0.0600;19:30;06.09.2019
280;0.5480;0.0570;20:00;06.09.2019
281;0.5310;0.0510;20:30;06.09.2019
282;0.5390;0.0570;21:00;06.09.2019
283;0.5170;0.0540;21:30;06.09.2019
284;0.5820;0.0640;22:00;06.09.2019
285;0.5800;0.0600;22:30;06.09.2019
286;0.6050;0.0670;23:00;06.09.2019
287;0.5570;0.0580;23:30;06.09.2019
288;0.5590;0.0610;00:00;07.09.2019
289;0.5040;0.0470;00:30;07.09.2019
290;0.5160;0.0530;01:00;07.09.2019
291;0.5270;0.0520;01:30;07.09.2019
292;0.5330;0.0490;02:00;07.09.2019
293;0.5330;0.0510;02:30;07.09.2019
294;0.5200;0.0500;03:00;07.09.2019
295;0.5450;0.0550;03:30;07.09.2019
296;0.5240;0.0530;04:00;07.09.2019
297;0.5540;0.0580;04:30;07.09.2019
298;0.5290;0.0530;05:00;07.09.2019
299;0.5700;0.0560;05:30;07.09.2019
300;0.5300;0.0500;06:00;07.09.2019
301;0.5000;0.0480;06:30;07.09.2019
302;0.4770;0.0480;07:00;07.09.2019
303;0.4660;0.0440;07:30;07.09.2019
304;0.5110;0.0480;08:00;07.09.2019
305;0.5580;0.0510;08:30;07.09.2019
306;0.5770;0.0580;09:00;07.09.2019
307;0.5760;0.0630;09:30;07.09.2019
308;0.5980;0.0650;10:00;07.09.2019
309;0.6270;0.0730;10:30;07.09.2019
310;0.6160;0.0720;11:00;07.09.2019
311;0.6720;0.0820;11:30;07.09.2019
312;0.6260;0.0700;12:00;07.09.2019
313;0.5810;0.0530;12:30;07.09.2019
314;0.5600;0.0490;13:00;07.09.2019
315;0.5510;0.0400;13:30;07.09.2019
316;0.6410;0.0700;14:00;07.09.2019
317;0.6390;0.0680;14:30;07.09.2019
