№;P+, кВт;Время;Дата
407;0.2400;11:30;09.03.2019
408;0.2360;12:00;09.03.2019
409;0.2360;12:30;09.03.2019
410;0.2430;13:00;09.03.2019
411;0.2390;13:30;09.03.2019
412;0.2400;14:00;09.03.2019
413;0.2400;14:30;09.03.2019
414;0.2370;15:00;09.03.2019
415;0.2330;15:30;09.03.2019
416;0.2330;16:00;09.03.2019
417;0.2440;16:30;09.03.2019
418;0.2270;17:00;09.03.2019
419;0.2330;17:30;09.03.2019
420;0.2270;18:00;09.03.2019
421;0.2470;18:30;09.03.2019
422;0.2250;19:00;09.03.2019
423;0.2290;19:30;09.03.2019
424;0.2350;20:00;09.03.2019
425;0.2260;20:30;09.03.2019
426;0.2380;21:00;09.03.2019
427;0.2290;21:30;09.03.2019
428;0.2310;22:00;09.03.2019
429;0.2210;22:30;09.03.2019
430;0.2220;23:00;09.03.2019
431;0.2140;23:30;09.03.2019
432;0.2160;00:00;10.03.2019
433;0.1910;00:30;10.03.2019
434;0.1790;01:00;10.03.2019
435;0.1790;01:30;10.03.2019
436;0.1810;02:00;10.03.2019
437;0.1830;02:30;10.03.2019
438;0.1790;03:00;10.03.2019
439;0.1840;03:30;10.03.2019
440;0.1750;04:00;10.03.2019
441;0.1780;04:30;10.03.2019
442;0.1780;05:00;10.03.2019
443;0.1760;05:30;10.03.2019
444;0.1770;06:00;10.03.2019
445;0.1810;06:30;10.03.2019
446;0.1780;07:00;10.03.2019
447;0.2250;07:30;10.03.2019
448;0.2690;08:00;10.03.2019
449;0.2560;08:30;10.03.2019
450;0.2040;09:00;10.03.2019
451;0.2130;09:30;10.03.2019
452;0.1980;10:00;10.03.2019
453;0.2190;10:30;10.03.2019
454;0.2410;11:00;10.03.2019
455;0.2330;11:30;10.03.2019
456;0.2130;12:00;10.03.2019
457;0.2460;12:30;10.03.2019
458;0.2390;13:00;10.03.2019
459;0.2590;13:30;10.03.2019
460;0.2180;14:00;10.03.2019
461;0.2400;14:30;10.03.2019
462;0.2450;15:00;10.03.2019
463;0.2190;15:30;10.03.2019
464;0.2500;16:00;10.03.2019
465;0.2740;16:30;10.03.2019
466;0.2480;17:00;10.03.2019
467;0.2390;17:30;10.03.2019
468;0.2310;18:00;10.03.2019
469;0.2400;18:30;10.03.2019
470;0.2470;19:00;10.03.2019
471;0.2370;19:30;10.03.2019
472;0.2370;20:00;10.03.2019
473;0.2400;20:30;10.03.2019
474;0.2390;21:00;10.03.2019
