n;P+;R+;Time;Date;;;;;;;;;
148;0,168;0;02:00;04.12.2019;;;;;;;;;
149;0,168;0;02:30;04.12.2019;;;;;;;;;
150;0,167;0;03:00;04.12.2019;;;;;;;;;
151;0,166;0;03:30;04.12.2019;;;;;;;;;
152;0,169;0;04:00;04.12.2019;;;;;;;;;
153;0,167;0;04:30;04.12.2019;;;;;;;;;
154;0,168;0;05:00;04.12.2019;;;;;;;;;
155;0,175;0;05:30;04.12.2019;;;;;;;;;
156;0,18;0;06:00;04.12.2019;;;;;;;;;
157;0,182;0;06:30;04.12.2019;;;;;;;;;
158;0,183;0;07:00;04.12.2019;;;;;;;;;
159;0,259;0;07:30;04.12.2019;;;;;;;;;
160;0,301;0;08:00;04.12.2019;;;;;;;;;
161;0,317;0;08:30;04.12.2019;;;;;;;;;
162;0,34;0;09:00;04.12.2019;;;;;;;;;
163;0,328;0;09:30;04.12.2019;;;;;;;;;
164;0,322;0;10:00;04.12.2019;;;;;;;;;
165;0,346;0;10:30;04.12.2019;;;;;;;;;
166;0,34;0;11:00;04.12.2019;;;;;;;;;
167;0,328;0;11:30;04.12.2019;;;;;;;;;
168;0,321;0;12:00;04.12.2019;;;;;;;;;
169;0,341;0;12:30;04.12.2019;;;;;;;;;
170;0,329;0;13:00;04.12.2019;;;;;;;;;
171;0,328;0;13:30;04.12.2019;;;;;;;;;
172;0,35;0;14:00;04.12.2019;;;;;;;;;
173;0,3;0;14:30;04.12.2019;;;;;;;;;
174;0,308;0;15:00;04.12.2019;;;;;;;;;
175;0,295;0;15:30;04.12.2019;;;;;;;;;
176;0,275;0;16:00;04.12.2019;;;;;;;;;
177;0,289;0;16:30;04.12.2019;;;;;;;;;
178;0,252;0;17:00;04.12.2019;;;;;;;;;
179;0,233;0;17:30;04.12.2019;;;;;;;;;
180;0,231;0;18:00;04.12.2019;;;;;;;;;
181;0,228;0;18:30;04.12.2019;;;;;;;;;
182;0,209;0;19:00;04.12.2019;;;;;;;;;
183;0,202;0;19:30;04.12.2019;;;;;;;;;
184;0,196;0;20:00;04.12.2019;;;;;;;;;
185;0,192;0;20:30;04.12.2019;;;;;;;;;
186;0,184;0;21:00;04.12.2019;;;;;;;;;
187;0,181;0;21:30;04.12.2019;;;;;;;;;
188;0,175;0;22:00;04.12.2019;;;;;;;;;
189;0,175;0;22:30;04.12.2019;;;;;;;;;
190;0,171;0;23:00;04.12.2019;;;;;;;;;
191;0,169;0;23:30;04.12.2019;;;;;;;;;
192;0,168;0;00:00;04.12.2019;;;;;;;;;
193;0,166;0;00:30;05.12.2019;;;;;;;;;
194;0,164;0;01:00;05.12.2019;;;;;;;;;
195;0,164;0;01:30;05.12.2019;;;;;;;;;
196;0,164;0;02:00;05.12.2019;;;;;;;;;
197;0,165;0;02:30;05.12.2019;;;;;;;;;
198;0,164;0;03:00;05.12.2019;;;;;;;;;
199;0,166;0;03:30;05.12.2019;;;;;;;;;
200;0,166;0;04:00;05.12.2019;;;;;;;;;
201;0,165;0;04:30;05.12.2019;;;;;;;;;
202;0,167;0;05:00;05.12.2019;;;;;;;;;
203;0,171;0;05:30;05.12.2019;;;;;;;;;
204;0,175;0;06:00;05.12.2019;;;;;;;;;
205;0,177;0;06:30;05.12.2019;;;;;;;;;
206;0,179;0;07:00;05.12.2019;;;;;;;;;
207;0,221;0;07:30;05.12.2019;;;;;;;;;
208;0,281;0;08:00;05.12.2019;;;;;;;;;
209;0,269;0;08:30;05.12.2019;;;;;;;;;
210;0,296;0;09:00;05.12.2019;;;;;;;;;
211;0,337;0;09:30;05.12.2019;;;;;;;;;
212;0,331;0;10:00;05.12.2019;;;;;;;;;
213;0,338;0;10:30;05.12.2019;;;;;;;;;
214;0,313;0;11:00;05.12.2019;;;;;;;;;
215;0,342;0;11:30;05.12.2019;;;;;;;;;
216;0,325;0;12:00;05.12.2019;;;;;;;;;
217;0,312;0;12:30;05.12.2019;;;;;;;;;
218;0,376;0;13:00;05.12.2019;;;;;;;;;
219;0,325;0;13:30;05.12.2019;;;;;;;;;
220;0,329;0;14:00;05.12.2019;;;;;;;;;
221;0,311;0;14:30;05.12.2019;;;;;;;;;
222;0,297;0;15:00;05.12.2019;;;;;;;;;
223;0,28;0;15:30;05.12.2019;;;;;;;;;
224;0,245;0;16:00;05.12.2019;;;;;;;;;
225;0,263;0;16:30;05.12.2019;;;;;;;;;
226;0,247;0;17:00;05.12.2019;;;;;;;;;
227;0,238;0;17:30;05.12.2019;;;;;;;;;
228;0,238;0;18:00;05.12.2019;;;;;;;;;
229;0,226;0;18:30;05.12.2019;;;;;;;;;
230;0,219;0;19:00;05.12.2019;;;;;;;;;
231;0,212;0;19:30;05.12.2019;;;;;;;;;
232;0,205;0;20:00;05.12.2019;;;;;;;;;
233;0,199;0;20:30;05.12.2019;;;;;;;;;
234;0,194;0;21:00;05.12.2019;;;;;;;;;
235;0,184;0;21:30;05.12.2019;;;;;;;;;
236;0,182;0;22:00;05.12.2019;;;;;;;;;
237;0,176;0;22:30;05.12.2019;;;;;;;;;
238;0,172;0;23:00;05.12.2019;;;;;;;;;
239;0,171;0;23:30;05.12.2019;;;;;;;;;
240;0,17;0;00:00;05.12.2019;;;;;;;;;
241;0,168;0;00:30;06.12.2019;;;;;;;;;
242;0,168;0;01:00;06.12.2019;;;;;;;;;
243;0,167;0;01:30;06.12.2019;;;;;;;;;
244;0,167;0;02:00;06.12.2019;;;;;;;;;
245;0,166;0;02:30;06.12.2019;;;;;;;;;
246;0,165;0;03:00;06.12.2019;;;;;;;;;
247;0,167;0;03:30;06.12.2019;;;;;;;;;
248;0,165;0;04:00;06.12.2019;;;;;;;;;
249;0,167;0;04:30;06.12.2019;;;;;;;;;
250;0,166;0;05:00;06.12.2019;;;;;;;;;
251;0,17;0;05:30;06.12.2019;;;;;;;;;
252;0,176;0;06:00;06.12.2019;;;;;;;;;
253;0,178;0;06:30;06.12.2019;;;;;;;;;
254;0,177;0;07:00;06.12.2019;;;;;;;;;
255;0,218;0;07:30;06.12.2019;;;;;;;;;
256;0,353;0;08:00;06.12.2019;;;;;;;;;
257;0,294;0;08:30;06.12.2019;;;;;;;;;
258;0,333;0;09:00;06.12.2019;;;;;;;;;
259;0,319;0;09:30;06.12.2019;;;;;;;;;
260;0,297;0;10:00;06.12.2019;;;;;;;;;
261;0,316;0;10:30;06.12.2019;;;;;;;;;
262;0,315;0;11:00;06.12.2019;;;;;;;;;
263;0,298;0;11:30;06.12.2019;;;;;;;;;
264;0,313;0;12:00;06.12.2019;;;;;;;;;
265;0,289;0;12:30;06.12.2019;;;;;;;;;
266;0,3;0;13:00;06.12.2019;;;;;;;;;
267;0,338;0;13:30;06.12.2019;;;;;;;;;
268;0,324;0;14:00;06.12.2019;;;;;;;;;
269;0,312;0;14:30;06.12.2019;;;;;;;;;
270;0,298;0;15:00;06.12.2019;;;;;;;;;
271;0,294;0;15:30;06.12.2019;;;;;;;;;
272;0,282;0;16:00;06.12.2019;;;;;;;;;
273;0,278;0;16:30;06.12.2019;;;;;;;;;
274;0,239;0;17:00;06.12.2019;;;;;;;;;
275;0,229;0;17:30;06.12.2019;;;;;;;;;
276;0,217;0;18:00;06.12.2019;;;;;;;;;
277;0,205;0;18:30;06.12.2019;;;;;;;;;
278;0,197;0;19:00;06.12.2019;;;;;;;;;
279;0,197;0;19:30;06.12.2019;;;;;;;;;
280;0,186;0;20:00;06.12.2019;;;;;;;;;
281;0,181;0;20:30;06.12.2019;;;;;;;;;
282;0,176;0;21:00;06.12.2019;;;;;;;;;
283;0,173;0;21:30;06.12.2019;;;;;;;;;
284;0,17;0;22:00;06.12.2019;;;;;;;;;
285;0,17;0;22:30;06.12.2019;;;;;;;;;
286;0,168;0;23:00;06.12.2019;;;;;;;;;
287;0,167;0;23:30;06.12.2019;;;;;;;;;
288;0,167;0;00:00;06.12.2019;;;;;;;;;
289;0,167;0;00:30;07.12.2019;;;;;;;;;
290;0,165;0;01:00;07.12.2019;;;;;;;;;
291;0,161;0;01:30;07.12.2019;;;;;;;;;
292;0,153;0;02:00;07.12.2019;;;;;;;;;
293;0,153;0;02:30;07.12.2019;;;;;;;;;
294;0,159;0;03:00;07.12.2019;;;;;;;;;
295;0,159;0;03:30;07.12.2019;;;;;;;;;
296;0,159;0;04:00;07.12.2019;;;;;;;;;
297;0,158;0;04:30;07.12.2019;;;;;;;;;
298;0,157;0;05:00;07.12.2019;;;;;;;;;
299;0,16;0;05:30;07.12.2019;;;;;;;;;
300;0,165;0;06:00;07.12.2019;;;;;;;;;
301;0,168;0;06:30;07.12.2019;;;;;;;;;
302;0,167;0;07:00;07.12.2019;;;;;;;;;
303;0,165;0;07:30;07.12.2019;;;;;;;;;
304;0,163;0;08:00;07.12.2019;;;;;;;;;
305;0,161;0;08:30;07.12.2019;;;;;;;;;
306;0,163;0;09:00;07.12.2019;;;;;;;;;
307;0,163;0;09:30;07.12.2019;;;;;;;;;
308;0,163;0;10:00;07.12.2019;;;;;;;;;
309;0,165;0;10:30;07.12.2019;;;;;;;;;
310;0,164;0;11:00;07.12.2019;;;;;;;;;
311;0,165;0;11:30;07.12.2019;;;;;;;;;
312;0,167;0;12:00;07.12.2019;;;;;;;;;
313;0,167;0;12:30;07.12.2019;;;;;;;;;
314;0,17;0;13:00;07.12.2019;;;;;;;;;
315;0,169;0;13:30;07.12.2019;;;;;;;;;
316;0,167;0;14:00;07.12.2019;;;;;;;;;
317;0,168;0;14:30;07.12.2019;;;;;;;;;
318;0,171;0;15:00;07.12.2019;;;;;;;;;
319;0,169;0;15:30;07.12.2019;;;;;;;;;
320;0,169;0;16:00;07.12.2019;;;;;;;;;
321;0,168;0;16:30;07.12.2019;;;;;;;;;
322;0,167;0;17:00;07.12.2019;;;;;;;;;
323;0,167;0;17:30;07.12.2019;;;;;;;;;
324;0,167;0;18:00;07.12.2019;;;;;;;;;
325;0,167;0;18:30;07.12.2019;;;;;;;;;
326;0,165;0;19:00;07.12.2019;;;;;;;;;
327;0,164;0;19:30;07.12.2019;;;;;;;;;
328;0,162;0;20:00;07.12.2019;;;;;;;;;
329;0,157;0;20:30;07.12.2019;;;;;;;;;
330;0,155;0;21:00;07.12.2019;;;;;;;;;
331;0,156;0;21:30;07.12.2019;;;;;;;;;
332;0,155;0;22:00;07.12.2019;;;;;;;;;
333;0,155;0;22:30;07.12.2019;;;;;;;;;
334;0,154;0;23:00;07.12.2019;;;;;;;;;
335;0,155;0;23:30;07.12.2019;;;;;;;;;
336;0,156;0;00:00;07.12.2019;;;;;;;;;
337;0,155;0;00:30;08.12.2019;;;;;;;;;
338;0,155;0;01:00;08.12.2019;;;;;;;;;
339;0,154;0;01:30;08.12.2019;;;;;;;;;
340;0,155;0;02:00;08.12.2019;;;;;;;;;
341;0,156;0;02:30;08.12.2019;;;;;;;;;
342;0,155;0;03:00;08.12.2019;;;;;;;;;
343;0,155;0;03:30;08.12.2019;;;;;;;;;
344;0,154;0;04:00;08.12.2019;;;;;;;;;
345;0,155;0;04:30;08.12.2019;;;;;;;;;
346;0,155;0;05:00;08.12.2019;;;;;;;;;
347;0,158;0;05:30;08.12.2019;;;;;;;;;
348;0,163;0;06:00;08.12.2019;;;;;;;;;
349;0,165;0;06:30;08.12.2019;;;;;;;;;
350;0,164;0;07:00;08.12.2019;;;;;;;;;
351;0,162;0;07:30;08.12.2019;;;;;;;;;
352;0,16;0;08:00;08.12.2019;;;;;;;;;
353;0,158;0;08:30;08.12.2019;;;;;;;;;
354;0,157;0;09:00;08.12.2019;;;;;;;;;
355;0,158;0;09:30;08.12.2019;;;;;;;;;
356;0,158;0;10:00;08.12.2019;;;;;;;;;
357;0,158;0;10:30;08.12.2019;;;;;;;;;
358;0,159;0;11:00;08.12.2019;;;;;;;;;
359;0,159;0;11:30;08.12.2019;;;;;;;;;
360;0,16;0;12:00;08.12.2019;;;;;;;;;
361;0,161;0;12:30;08.12.2019;;;;;;;;;
362;0,161;0;13:00;08.12.2019;;;;;;;;;
363;0,161;0;13:30;08.12.2019;;;;;;;;;
364;0,163;0;14:00;08.12.2019;;;;;;;;;
365;0,163;0;14:30;08.12.2019;;;;;;;;;
366;0,166;0;15:00;08.12.2019;;;;;;;;;
367;0,167;0;15:30;08.12.2019;;;;;;;;;
368;0,165;0;16:00;08.12.2019;;;;;;;;;
369;0,162;0;16:30;08.12.2019;;;;;;;;;
370;0,161;0;17:00;08.12.2019;;;;;;;;;
371;0,16;0;17:30;08.12.2019;;;;;;;;;
372;0,16;0;18:00;08.12.2019;;;;;;;;;
373;0,157;0;18:30;08.12.2019;;;;;;;;;
374;0,158;0;19:00;08.12.2019;;;;;;;;;
375;0,16;0;19:30;08.12.2019;;;;;;;;;
376;0,157;0;20:00;08.12.2019;;;;;;;;;
377;0,157;0;20:30;08.12.2019;;;;;;;;;
378;0,156;0;21:00;08.12.2019;;;;;;;;;
379;0,156;0;21:30;08.12.2019;;;;;;;;;
380;0,156;0;22:00;08.12.2019;;;;;;;;;
381;0,156;0;22:30;08.12.2019;;;;;;;;;
382;0,155;0;23:00;08.12.2019;;;;;;;;;
383;0,155;0;23:30;08.12.2019;;;;;;;;;
384;0,155;0;00:00;08.12.2019;;;;;;;;;
385;0,156;0;00:30;09.12.2019;;;;;;;;;
386;0,155;0;01:00;09.12.2019;;;;;;;;;
387;0,155;0;01:30;09.12.2019;;;;;;;;;
388;0,155;0;02:00;09.12.2019;;;;;;;;;
389;0,155;0;02:30;09.12.2019;;;;;;;;;
390;0,154;0;03:00;09.12.2019;;;;;;;;;
391;0,156;0;03:30;09.12.2019;;;;;;;;;
392;0,155;0;04:00;09.12.2019;;;;;;;;;
393;0,155;0;04:30;09.12.2019;;;;;;;;;
394;0,155;0;05:00;09.12.2019;;;;;;;;;
395;0,159;0;05:30;09.12.2019;;;;;;;;;
396;0,163;0;06:00;09.12.2019;;;;;;;;;
397;0,165;0;06:30;09.12.2019;;;;;;;;;
398;0,165;0;07:00;09.12.2019;;;;;;;;;
399;0,205;0;07:30;09.12.2019;;;;;;;;;
400;0,323;0;08:00;09.12.2019;;;;;;;;;
401;0,309;0;08:30;09.12.2019;;;;;;;;;
402;0,324;0;09:00;09.12.2019;;;;;;;;;
403;0,332;0;09:30;09.12.2019;;;;;;;;;
404;0,331;0;10:00;09.12.2019;;;;;;;;;
405;0,311;0;10:30;09.12.2019;;;;;;;;;
406;0,335;0;11:00;09.12.2019;;;;;;;;;
407;0,308;0;11:30;09.12.2019;;;;;;;;;
408;0,284;0;12:00;09.12.2019;;;;;;;;;
409;0,291;0;12:30;09.12.2019;;;;;;;;;
410;0,31;0;13:00;09.12.2019;;;;;;;;;
411;0,319;0;13:30;09.12.2019;;;;;;;;;
412;0,294;0;14:00;09.12.2019;;;;;;;;;
413;0,304;0;14:30;09.12.2019;;;;;;;;;
414;0,316;0;15:00;09.12.2019;;;;;;;;;
415;0,297;0;15:30;09.12.2019;;;;;;;;;
416;0,271;0;16:00;09.12.2019;;;;;;;;;
417;0,267;0;16:30;09.12.2019;;;;;;;;;
418;0,252;0;17:00;09.12.2019;;;;;;;;;
419;0,24;0;17:30;09.12.2019;;;;;;;;;
420;0,231;0;18:00;09.12.2019;;;;;;;;;
421;0,225;0;18:30;09.12.2019;;;;;;;;;
422;0,218;0;19:00;09.12.2019;;;;;;;;;
423;0,208;0;19:30;09.12.2019;;;;;;;;;
424;0,202;0;20:00;09.12.2019;;;;;;;;;
425;0,196;0;20:30;09.12.2019;;;;;;;;;
426;0,192;0;21:00;09.12.2019;;;;;;;;;
427;0,184;0;21:30;09.12.2019;;;;;;;;;
428;0,178;0;22:00;09.12.2019;;;;;;;;;
429;0,174;0;22:30;09.12.2019;;;;;;;;;
430;0,173;0;23:00;09.12.2019;;;;;;;;;
431;0,168;0;23:30;09.12.2019;;;;;;;;;
432;0,169;0;00:00;09.12.2019;;;;;;;;;
433;0,167;0;00:30;10.12.2019;;;;;;;;;
434;0,166;0;01:00;10.12.2019;;;;;;;;;
435;0,167;0;01:30;10.12.2019;;;;;;;;;
436;0,165;0;02:00;10.12.2019;;;;;;;;;
437;0,162;0;02:30;10.12.2019;;;;;;;;;
438;0,165;0;03:00;10.12.2019;;;;;;;;;
439;0,165;0;03:30;10.12.2019;;;;;;;;;
440;0,165;0;04:00;10.12.2019;;;;;;;;;
441;0,165;0;04:30;10.12.2019;;;;;;;;;
442;0,165;0;05:00;10.12.2019;;;;;;;;;
443;0,169;0;05:30;10.12.2019;;;;;;;;;
444;0,177;0;06:00;10.12.2019;;;;;;;;;
445;0,177;0;06:30;10.12.2019;;;;;;;;;
446;0,177;0;07:00;10.12.2019;;;;;;;;;
447;0,229;0;07:30;10.12.2019;;;;;;;;;
448;0,335;0;08:00;10.12.2019;;;;;;;;;
449;0,267;0;08:30;10.12.2019;;;;;;;;;
450;0,312;0;09:00;10.12.2019;;;;;;;;;
451;0,301;0;09:30;10.12.2019;;;;;;;;;
452;0,338;0;10:00;10.12.2019;;;;;;;;;
453;0,317;0;10:30;10.12.2019;;;;;;;;;
454;0,319;0;11:00;10.12.2019;;;;;;;;;
455;0,298;0;11:30;10.12.2019;;;;;;;;;
456;0,357;0;12:00;10.12.2019;;;;;;;;;
457;0,327;0;12:30;10.12.2019;;;;;;;;;
458;0,35;0;13:00;10.12.2019;;;;;;;;;
459;0,296;0;13:30;10.12.2019;;;;;;;;;
