№;P+, кВт;R+, кВар;Время;Дата
209;0.4710;0.1000;08:30;05.09.2019
210;0.5080;0.0970;09:00;05.09.2019
211;0.5310;0.0930;09:30;05.09.2019
212;0.5450;0.0920;10:00;05.09.2019
213;0.5450;0.0910;10:30;05.09.2019
214;0.5620;0.0900;11:00;05.09.2019
215;0.5590;0.0900;11:30;05.09.2019
216;0.5710;0.0900;12:00;05.09.2019
217;0.5830;0.0890;12:30;05.09.2019
218;0.5710;0.0900;13:00;05.09.2019
219;0.5790;0.0900;13:30;05.09.2019
220;0.5790;0.0890;14:00;05.09.2019
221;0.5810;0.0890;14:30;05.09.2019
222;0.5690;0.0890;15:00;05.09.2019
223;0.5900;0.0910;15:30;05.09.2019
224;0.5840;0.0900;16:00;05.09.2019
225;0.5780;0.0900;16:30;05.09.2019
226;0.5800;0.0920;17:00;05.09.2019
227;0.5810;0.0930;17:30;05.09.2019
228;0.5680;0.0950;18:00;05.09.2019
229;0.5650;0.0950;18:30;05.09.2019
230;0.5590;0.0960;19:00;05.09.2019
231;0.5460;0.0960;19:30;05.09.2019
232;0.5370;0.0930;20:00;05.09.2019
233;0.5330;0.0930;20:30;05.09.2019
234;0.5120;0.0950;21:00;05.09.2019
235;0.4430;0.0980;21:30;05.09.2019
236;0.3920;0.1010;22:00;05.09.2019
237;0.3710;0.1040;22:30;05.09.2019
238;0.3700;0.1040;23:00;05.09.2019
239;0.3690;0.1050;23:30;05.09.2019
240;0.3710;0.1030;00:00;05.09.2019
241;0.3700;0.1050;00:30;06.09.2019
242;0.3720;0.1060;01:00;06.09.2019
243;0.3690;0.1060;01:30;06.09.2019
244;0.3700;0.1050;02:00;06.09.2019
245;0.3700;0.1040;02:30;06.09.2019
246;0.3710;0.1030;03:00;06.09.2019
247;0.3690;0.1040;03:30;06.09.2019
248;0.3690;0.1040;04:00;06.09.2019
249;0.3690;0.1040;04:30;06.09.2019
250;0.3720;0.1070;05:00;06.09.2019
251;0.3760;0.1040;05:30;06.09.2019
252;0.3800;0.1080;06:00;06.09.2019
253;0.3830;0.1070;06:30;06.09.2019
254;0.3720;0.1070;07:00;06.09.2019
255;0.3670;0.1070;07:30;06.09.2019
256;0.3610;0.1030;08:00;06.09.2019
257;0.4590;0.1000;08:30;06.09.2019
258;0.5000;0.0990;09:00;06.09.2019
259;0.5170;0.0970;09:30;06.09.2019
260;0.5330;0.0950;10:00;06.09.2019
261;0.5450;0.0940;10:30;06.09.2019
262;0.5320;0.0970;11:00;06.09.2019
263;0.5360;0.0970;11:30;06.09.2019
264;0.5420;0.0960;12:00;06.09.2019
265;0.5480;0.0960;12:30;06.09.2019
266;0.5480;0.0960;13:00;06.09.2019
267;0.5500;0.0950;13:30;06.09.2019
268;0.5460;0.0950;14:00;06.09.2019
269;0.5440;0.0950;14:30;06.09.2019
270;0.5410;0.0940;15:00;06.09.2019
271;0.5480;0.0950;15:30;06.09.2019
272;0.5480;0.0940;16:00;06.09.2019
273;0.5550;0.0960;16:30;06.09.2019
274;0.5550;0.0960;17:00;06.09.2019
275;0.5440;0.0960;17:30;06.09.2019
276;0.5450;0.0980;18:00;06.09.2019
277;0.5460;0.0980;18:30;06.09.2019
278;0.5490;0.0970;19:00;06.09.2019
279;0.5470;0.0960;19:30;06.09.2019
280;0.5480;0.0960;20:00;06.09.2019
281;0.5430;0.0950;20:30;06.09.2019
282;0.5070;0.0970;21:00;06.09.2019
283;0.4510;0.0990;21:30;06.09.2019
284;0.3700;0.1020;22:00;06.09.2019
285;0.3690;0.0960;22:30;06.09.2019
286;0.3680;0.0940;23:00;06.09.2019
287;0.3660;0.0930;23:30;06.09.2019
288;0.3670;0.0960;00:00;06.09.2019
289;0.3680;0.0960;00:30;07.09.2019
290;0.3670;0.0970;01:00;07.09.2019
291;0.3660;0.0970;01:30;07.09.2019
292;0.3650;0.0980;02:00;07.09.2019
293;0.3680;0.0970;02:30;07.09.2019
294;0.3660;0.0960;03:00;07.09.2019
295;0.3650;0.0960;03:30;07.09.2019
296;0.3640;0.0960;04:00;07.09.2019
297;0.3650;0.0970;04:30;07.09.2019
298;0.3660;0.0970;05:00;07.09.2019
299;0.3720;0.0950;05:30;07.09.2019
300;0.3750;0.0910;06:00;07.09.2019
301;0.3760;0.0970;06:30;07.09.2019
302;0.3690;0.0960;07:00;07.09.2019
303;0.3600;0.0960;07:30;07.09.2019
304;0.3520;0.0980;08:00;07.09.2019
305;0.3500;0.0980;08:30;07.09.2019
306;0.4530;0.0960;09:00;07.09.2019
307;0.4900;0.0940;09:30;07.09.2019
308;0.4980;0.0980;10:00;07.09.2019
309;0.4980;0.0950;10:30;07.09.2019
310;0.5030;0.0940;11:00;07.09.2019
311;0.5050;0.0930;11:30;07.09.2019
312;0.5160;0.0920;12:00;07.09.2019
313;0.5180;0.0930;12:30;07.09.2019
314;0.5180;0.0930;13:00;07.09.2019
315;0.5250;0.0930;13:30;07.09.2019
316;0.5240;0.0930;14:00;07.09.2019
317;0.5290;0.0930;14:30;07.09.2019
318;0.5230;0.0930;15:00;07.09.2019
319;0.5170;0.0920;15:30;07.09.2019
320;0.5180;0.0930;16:00;07.09.2019
321;0.5180;0.0930;16:30;07.09.2019
322;0.5060;0.0930;17:00;07.09.2019
323;0.4950;0.0950;17:30;07.09.2019
324;0.4760;0.0960;18:00;07.09.2019
325;0.4480;0.0960;18:30;07.09.2019
326;0.3510;0.0960;19:00;07.09.2019
327;0.3520;0.0960;19:30;07.09.2019
328;0.3530;0.0930;20:00;07.09.2019
329;0.3660;0.0940;20:30;07.09.2019
330;0.3660;0.0930;21:00;07.09.2019
331;0.3650;0.0940;21:30;07.09.2019
332;0.3660;0.0940;22:00;07.09.2019
333;0.3660;0.0940;22:30;07.09.2019
334;0.3660;0.0950;23:00;07.09.2019
335;0.3660;0.0940;23:30;07.09.2019
336;0.3650;0.0950;00:00;07.09.2019
337;0.3640;0.0960;00:30;08.09.2019
338;0.3650;0.0960;01:00;08.09.2019
339;0.3640;0.0970;01:30;08.09.2019
340;0.3660;0.1000;02:00;08.09.2019
341;0.3640;0.0990;02:30;08.09.2019
342;0.3660;0.0990;03:00;08.09.2019
343;0.3640;0.1000;03:30;08.09.2019
344;0.3640;0.1000;04:00;08.09.2019
345;0.3650;0.1010;04:30;08.09.2019
346;0.3640;0.0980;05:00;08.09.2019
347;0.3700;0.0980;05:30;08.09.2019
348;0.3760;0.0970;06:00;08.09.2019
349;0.3770;0.0950;06:30;08.09.2019
350;0.3680;0.0970;07:00;08.09.2019
351;0.3590;0.0950;07:30;08.09.2019
352;0.3550;0.0960;08:00;08.09.2019
353;0.3470;0.1000;08:30;08.09.2019
354;0.3490;0.0990;09:00;08.09.2019
355;0.3480;0.1000;09:30;08.09.2019
356;0.3490;0.0990;10:00;08.09.2019
357;0.3490;0.1010;10:30;08.09.2019
358;0.3470;0.1010;11:00;08.09.2019
359;0.3470;0.1000;11:30;08.09.2019
360;0.3470;0.0990;12:00;08.09.2019
361;0.3480;0.1000;12:30;08.09.2019
362;0.3460;0.1010;13:00;08.09.2019
363;0.3460;0.0990;13:30;08.09.2019
364;0.3450;0.0980;14:00;08.09.2019
365;0.3410;0.0970;14:30;08.09.2019
366;0.3390;0.0970;15:00;08.09.2019
367;0.3380;0.0970;15:30;08.09.2019
368;0.3360;0.0960;16:00;08.09.2019
369;0.3370;0.0990;16:30;08.09.2019
370;0.3380;0.0960;17:00;08.09.2019
371;0.3440;0.0980;17:30;08.09.2019
372;0.3410;0.0960;18:00;08.09.2019
373;0.3400;0.0970;18:30;08.09.2019
374;0.3420;0.0960;19:00;08.09.2019
375;0.3430;0.0920;19:30;08.09.2019
376;0.3470;0.0950;20:00;08.09.2019
377;0.3580;0.0950;20:30;08.09.2019
378;0.3600;0.0950;21:00;08.09.2019
379;0.3600;0.0960;21:30;08.09.2019
380;0.3600;0.0970;22:00;08.09.2019
381;0.3610;0.0960;22:30;08.09.2019
382;0.3600;0.0980;23:00;08.09.2019
383;0.3570;0.0970;23:30;08.09.2019
384;0.3580;0.0990;00:00;08.09.2019
385;0.3590;0.0990;00:30;09.09.2019
386;0.3570;0.0980;01:00;09.09.2019
387;0.3570;0.1010;01:30;09.09.2019
388;0.3580;0.1000;02:00;09.09.2019
389;0.3580;0.1000;02:30;09.09.2019
390;0.3590;0.0990;03:00;09.09.2019
391;0.3580;0.0990;03:30;09.09.2019
392;0.3590;0.0990;04:00;09.09.2019
393;0.3570;0.1000;04:30;09.09.2019
394;0.3580;0.0980;05:00;09.09.2019
395;0.3650;0.0970;05:30;09.09.2019
396;0.3720;0.0950;06:00;09.09.2019
397;0.3710;0.0990;06:30;09.09.2019
398;0.3610;0.0970;07:00;09.09.2019
399;0.3550;0.0980;07:30;09.09.2019
400;0.3490;0.1000;08:00;09.09.2019
401;0.4240;0.0980;08:30;09.09.2019
402;0.4770;0.0980;09:00;09.09.2019
403;0.5060;0.0940;09:30;09.09.2019
404;0.5170;0.0930;10:00;09.09.2019
405;0.5250;0.0920;10:30;09.09.2019
406;0.5370;0.0920;11:00;09.09.2019
407;0.5380;0.0920;11:30;09.09.2019
408;0.5450;0.0920;12:00;09.09.2019
409;0.5400;0.0910;12:30;09.09.2019
410;0.5490;0.0900;13:00;09.09.2019
411;0.5450;0.0910;13:30;09.09.2019
412;0.5430;0.0900;14:00;09.09.2019
413;0.5450;0.0910;14:30;09.09.2019
414;0.5460;0.0900;15:00;09.09.2019
415;0.5430;0.0910;15:30;09.09.2019
416;0.5370;0.0910;16:00;09.09.2019
417;0.5470;0.0910;16:30;09.09.2019
418;0.5410;0.0930;17:00;09.09.2019
419;0.5460;0.0940;17:30;09.09.2019
420;0.5490;0.0930;18:00;09.09.2019
421;0.5420;0.0950;18:30;09.09.2019
422;0.5470;0.0960;19:00;09.09.2019
423;0.5450;0.0940;19:30;09.09.2019
424;0.5270;0.0910;20:00;09.09.2019
425;0.5270;0.0930;20:30;09.09.2019
426;0.4950;0.0930;21:00;09.09.2019
427;0.4920;0.0950;21:30;09.09.2019
428;0.3790;0.0970;22:00;09.09.2019
429;0.3690;0.0960;22:30;09.09.2019
430;0.3690;0.0980;23:00;09.09.2019
431;0.3730;0.0980;23:30;09.09.2019
432;0.3710;0.0980;00:00;09.09.2019
433;0.3690;0.1000;00:30;10.09.2019
434;0.3720;0.1000;01:00;10.09.2019
435;0.3690;0.1000;01:30;10.09.2019
436;0.3710;0.1000;02:00;10.09.2019
437;0.3690;0.0990;02:30;10.09.2019
438;0.3670;0.0990;03:00;10.09.2019
439;0.3650;0.0990;03:30;10.09.2019
440;0.3670;0.1000;04:00;10.09.2019
441;0.3660;0.1010;04:30;10.09.2019
442;0.3660;0.1010;05:00;10.09.2019
443;0.3720;0.0970;05:30;10.09.2019
444;0.3800;0.0960;06:00;10.09.2019
445;0.3810;0.1020;06:30;10.09.2019
446;0.3730;0.0990;07:00;10.09.2019
447;0.3610;0.0960;07:30;10.09.2019
448;0.3580;0.0980;08:00;10.09.2019
449;0.4390;0.1000;08:30;10.09.2019
450;0.4860;0.0990;09:00;10.09.2019
451;0.5140;0.0960;09:30;10.09.2019
452;0.5240;0.0920;10:00;10.09.2019
453;0.5300;0.0910;10:30;10.09.2019
454;0.5380;0.0930;11:00;10.09.2019
455;0.5440;0.0920;11:30;10.09.2019
456;0.5580;0.0920;12:00;10.09.2019
457;0.5500;0.0910;12:30;10.09.2019
458;0.5600;0.0920;13:00;10.09.2019
459;0.5590;0.0910;13:30;10.09.2019
460;0.5460;0.0920;14:00;10.09.2019
461;0.5570;0.0910;14:30;10.09.2019
462;0.5410;0.0920;15:00;10.09.2019
463;0.5510;0.0920;15:30;10.09.2019
464;0.5720;0.0920;16:00;10.09.2019
465;0.5530;0.0920;16:30;10.09.2019
466;0.5540;0.0930;17:00;10.09.2019
467;0.5670;0.0930;17:30;10.09.2019
468;0.5600;0.0960;18:00;10.09.2019
469;0.5460;0.0940;18:30;10.09.2019
470;0.5460;0.0960;19:00;10.09.2019
471;0.5390;0.0930;19:30;10.09.2019
472;0.5330;0.0940;20:00;10.09.2019
473;0.5290;0.0910;20:30;10.09.2019
474;0.4880;0.0930;21:00;10.09.2019
475;0.3760;0.0960;21:30;10.09.2019
476;0.3680;0.0960;22:00;10.09.2019
477;0.3650;0.0980;22:30;10.09.2019
478;0.3640;0.0970;23:00;10.09.2019
479;0.3640;0.0990;23:30;10.09.2019
480;0.3640;0.0980;00:00;10.09.2019
481;0.3640;0.0970;00:30;11.09.2019
482;0.3620;0.0990;01:00;11.09.2019
483;0.3630;0.0970;01:30;11.09.2019
484;0.3630;0.1000;02:00;11.09.2019
485;0.3650;0.1000;02:30;11.09.2019
486;0.3650;0.0990;03:00;11.09.2019
487;0.3630;0.0990;03:30;11.09.2019
488;0.3610;0.0970;04:00;11.09.2019
489;0.3640;0.0980;04:30;11.09.2019
490;0.3640;0.0980;05:00;11.09.2019
491;0.3680;0.0960;05:30;11.09.2019
492;0.3780;0.0940;06:00;11.09.2019
493;0.3790;0.0960;06:30;11.09.2019
494;0.3700;0.0940;07:00;11.09.2019
495;0.3640;0.0940;07:30;11.09.2019
496;0.3670;0.0980;08:00;11.09.2019
497;0.4770;0.0960;08:30;11.09.2019
498;0.4990;0.0950;09:00;11.09.2019
499;0.5320;0.0920;09:30;11.09.2019
500;0.5400;0.0910;10:00;11.09.2019
501;0.5490;0.0920;10:30;11.09.2019
502;0.5550;0.0910;11:00;11.09.2019
503;0.5810;0.0900;11:30;11.09.2019
504;0.5790;0.0900;12:00;11.09.2019
505;0.5940;0.0890;12:30;11.09.2019
506;0.5780;0.0890;13:00;11.09.2019
507;0.5810;0.0890;13:30;11.09.2019
508;0.5780;0.0890;14:00;11.09.2019
509;0.5580;0.0890;14:30;11.09.2019
510;0.5450;0.0910;15:00;11.09.2019
511;0.5460;0.0910;15:30;11.09.2019
512;0.5520;0.0910;16:00;11.09.2019
513;0.5620;0.0910;16:30;11.09.2019
514;0.5480;0.0920;17:00;11.09.2019
515;0.5500;0.0920;17:30;11.09.2019
516;0.5560;0.0930;18:00;11.09.2019
517;0.5450;0.0930;18:30;11.09.2019
518;0.5490;0.0940;19:00;11.09.2019
519;0.5680;0.0910;19:30;11.09.2019
520;0.5680;0.0900;20:00;11.09.2019
521;0.5480;0.0920;20:30;11.09.2019
522;0.5210;0.0930;21:00;11.09.2019
523;0.4340;0.0950;21:30;11.09.2019
524;0.3960;0.0950;22:00;11.09.2019
525;0.3860;0.0950;22:30;11.09.2019
526;0.3820;0.0970;23:00;11.09.2019
527;0.3850;0.0950;23:30;11.09.2019
528;0.3750;0.1000;00:00;11.09.2019
529;0.3750;0.0990;00:30;12.09.2019
530;0.3760;0.0990;01:00;12.09.2019
531;0.3750;0.0990;01:30;12.09.2019
532;0.3730;0.0980;02:00;12.09.2019
533;0.3740;0.0980;02:30;12.09.2019
534;0.3720;0.0990;03:00;12.09.2019
535;0.3760;0.0990;03:30;12.09.2019
536;0.3740;0.0980;04:00;12.09.2019
537;0.3740;0.0980;04:30;12.09.2019
538;0.3720;0.0940;05:00;12.09.2019
539;0.3760;0.0930;05:30;12.09.2019
540;0.3850;0.0950;06:00;12.09.2019
541;0.3940;0.0970;06:30;12.09.2019
542;0.3720;0.1000;07:00;12.09.2019
543;0.3710;0.1030;07:30;12.09.2019
544;0.3640;0.1020;08:00;12.09.2019
545;0.4680;0.0990;08:30;12.09.2019
546;0.4890;0.0950;09:00;12.09.2019
547;0.5130;0.0940;09:30;12.09.2019
548;0.5240;0.0940;10:00;12.09.2019
549;0.5220;0.0930;10:30;12.09.2019
550;0.5260;0.0930;11:00;12.09.2019
551;0.5250;0.0920;11:30;12.09.2019
552;0.5420;0.0910;12:00;12.09.2019
553;0.5360;0.0900;12:30;12.09.2019
554;0.5460;0.0900;13:00;12.09.2019
555;0.5440;0.0900;13:30;12.09.2019
556;0.5370;0.0900;14:00;12.09.2019
557;0.5520;0.0880;14:30;12.09.2019
558;0.5500;0.0880;15:00;12.09.2019
559;0.5550;0.0870;15:30;12.09.2019
560;0.5560;0.0880;16:00;12.09.2019
561;0.5470;0.0890;16:30;12.09.2019
562;0.5560;0.0900;17:00;12.09.2019
563;0.5510;0.0920;17:30;12.09.2019
564;0.5360;0.0920;18:00;12.09.2019
565;0.5410;0.0920;18:30;12.09.2019
566;0.5370;0.0910;19:00;12.09.2019
567;0.5400;0.0900;19:30;12.09.2019
568;0.5360;0.0890;20:00;12.09.2019
569;0.5220;0.0890;20:30;12.09.2019
570;0.5040;0.0900;21:00;12.09.2019
571;0.4250;0.0920;21:30;12.09.2019
572;0.3720;0.0920;22:00;12.09.2019
573;0.3710;0.0910;22:30;12.09.2019
574;0.3720;0.0910;23:00;12.09.2019
575;0.3700;0.0890;23:30;12.09.2019
576;0.3700;0.0890;00:00;12.09.2019
577;0.3680;0.0910;00:30;13.09.2019
578;0.3690;0.0940;01:00;13.09.2019
579;0.3680;0.0950;01:30;13.09.2019
580;0.3680;0.0910;02:00;13.09.2019
581;0.3670;0.0820;02:30;13.09.2019
582;0.3680;0.0800;03:00;13.09.2019
583;0.3680;0.0830;03:30;13.09.2019
584;0.3670;0.0850;04:00;13.09.2019
585;0.3680;0.0870;04:30;13.09.2019
586;0.3650;0.0830;05:00;13.09.2019
587;0.3720;0.0790;05:30;13.09.2019
588;0.3740;0.0840;06:00;13.09.2019
589;0.3800;0.0910;06:30;13.09.2019
590;0.3610;0.0910;07:00;13.09.2019
591;0.3610;0.0960;07:30;13.09.2019
592;0.3570;0.1000;08:00;13.09.2019
593;0.4250;0.0970;08:30;13.09.2019
594;0.4880;0.0940;09:00;13.09.2019
595;0.5020;0.0950;09:30;13.09.2019
596;0.5100;0.0940;10:00;13.09.2019
597;0.5240;0.0930;10:30;13.09.2019
598;0.5210;0.0920;11:00;13.09.2019
599;0.5240;0.0910;11:30;13.09.2019
600;0.5180;0.0930;12:00;13.09.2019
601;0.5310;0.0910;12:30;13.09.2019
602;0.5390;0.0910;13:00;13.09.2019
603;0.5400;0.0910;13:30;13.09.2019
604;0.5360;0.0910;14:00;13.09.2019
605;0.5470;0.0910;14:30;13.09.2019
